Gene Subset,often found mutated,important for,part of,involved in,important in,other
"IDH1, PAM, EHF, SDC4, WFDC2",certain cancers.,neuroendocrine system.,,,,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, PAM, DSTN, SDC4, WFDC2",certain cancers.,neuroendocrine system.,,actin depolymerization.,,"Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, MGST3, GATA3, LCN2",certain cancers.,,"the sodium-potassium pump, widespread expression.",innate immunity and iron transport. Associated with inflammation and certain cancers.,T-cell development and some epithelial cells.,
"IDH1, ATP1B1, MGST3, GATA3, EHF",certain cancers.,,"the sodium-potassium pump, widespread expression.",detoxification processes.,T-cell development and some epithelial cells.,Transcription factor with roles in epithelial differentiation.
"IDH1, ATP1B1, MGST3, GATA3, DSTN",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,T-cell development and some epithelial cells.,
"IDH1, ATP1B1, MGST3, GATA3, SDC4",certain cancers.,,"the sodium-potassium pump, widespread expression.",detoxification processes.,T-cell development and some epithelial cells.,"Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, ATP1B1, MGST3, GATA3, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",detoxification processes.,T-cell development and some epithelial cells.,"Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, MGST3, LCN2, EHF",certain cancers.,,"the sodium-potassium pump, widespread expression.",innate immunity and iron transport. Associated with inflammation and certain cancers.,,Transcription factor with roles in epithelial differentiation.
"IDH1, ATP1B1, MGST3, LCN2, DSTN",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,,
"IDH1, ATP1B1, MGST3, LCN2, SDC4",certain cancers.,,"the sodium-potassium pump, widespread expression.",innate immunity and iron transport. Associated with inflammation and certain cancers.,,"Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, ATP1B1, MGST3, LCN2, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",innate immunity and iron transport. Associated with inflammation and certain cancers.,,"Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, MGST3, EHF, DSTN",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,,Transcription factor with roles in epithelial differentiation.
"IDH1, ATP1B1, MGST3, EHF, SDC4",certain cancers.,,"the sodium-potassium pump, widespread expression.",detoxification processes.,,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, ATP1B1, MGST3, EHF, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",detoxification processes.,,"Transcription factor with roles in epithelial differentiation.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, MGST3, DSTN, SDC4",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,,"Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, ATP1B1, MGST3, DSTN, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,,"Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, MGST3, SDC4, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",detoxification processes.,,"Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, GATA3, LCN2, EHF",certain cancers.,,"the sodium-potassium pump, widespread expression.",innate immunity and iron transport. Associated with inflammation and certain cancers.,T-cell development and some epithelial cells.,Transcription factor with roles in epithelial differentiation.
"IDH1, ATP1B1, GATA3, LCN2, DSTN",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,T-cell development and some epithelial cells.,
"IDH1, ATP1B1, GATA3, LCN2, SDC4",certain cancers.,,"the sodium-potassium pump, widespread expression.",innate immunity and iron transport. Associated with inflammation and certain cancers.,T-cell development and some epithelial cells.,"Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, ATP1B1, GATA3, LCN2, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",innate immunity and iron transport. Associated with inflammation and certain cancers.,T-cell development and some epithelial cells.,"Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, GATA3, EHF, DSTN",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,T-cell development and some epithelial cells.,Transcription factor with roles in epithelial differentiation.
"IDH1, ATP1B1, GATA3, EHF, SDC4",certain cancers.,,"the sodium-potassium pump, widespread expression.",,T-cell development and some epithelial cells.,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, ATP1B1, GATA3, EHF, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",,T-cell development and some epithelial cells.,"Transcription factor with roles in epithelial differentiation.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, GATA3, DSTN, SDC4",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,T-cell development and some epithelial cells.,"Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, ATP1B1, GATA3, DSTN, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,T-cell development and some epithelial cells.,"Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, GATA3, SDC4, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",,T-cell development and some epithelial cells.,"Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, LCN2, EHF, DSTN",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,,Transcription factor with roles in epithelial differentiation.
"IDH1, ATP1B1, LCN2, EHF, SDC4",certain cancers.,,"the sodium-potassium pump, widespread expression.",innate immunity and iron transport. Associated with inflammation and certain cancers.,,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, ATP1B1, LCN2, EHF, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",innate immunity and iron transport. Associated with inflammation and certain cancers.,,"Transcription factor with roles in epithelial differentiation.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, LCN2, DSTN, SDC4",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,,"Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, ATP1B1, LCN2, DSTN, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,,"Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, LCN2, SDC4, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",innate immunity and iron transport. Associated with inflammation and certain cancers.,,"Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, EHF, DSTN, SDC4",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, ATP1B1, EHF, DSTN, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,,"Transcription factor with roles in epithelial differentiation.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, EHF, SDC4, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",,,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, ATP1B1, DSTN, SDC4, WFDC2",certain cancers.,,"the sodium-potassium pump, widespread expression.",actin depolymerization.,,"Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, MGST3, GATA3, LCN2, EHF",certain cancers.,,,innate immunity and iron transport. Associated with inflammation and certain cancers.,T-cell development and some epithelial cells.,Transcription factor with roles in epithelial differentiation.
"IDH1, MGST3, GATA3, LCN2, DSTN",certain cancers.,,,actin depolymerization.,T-cell development and some epithelial cells.,
"IDH1, MGST3, GATA3, LCN2, SDC4",certain cancers.,,,innate immunity and iron transport. Associated with inflammation and certain cancers.,T-cell development and some epithelial cells.,"Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, MGST3, GATA3, LCN2, WFDC2",certain cancers.,,,innate immunity and iron transport. Associated with inflammation and certain cancers.,T-cell development and some epithelial cells.,"Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, MGST3, GATA3, EHF, DSTN",certain cancers.,,,actin depolymerization.,T-cell development and some epithelial cells.,Transcription factor with roles in epithelial differentiation.
"IDH1, MGST3, GATA3, EHF, SDC4",certain cancers.,,,detoxification processes.,T-cell development and some epithelial cells.,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, MGST3, GATA3, EHF, WFDC2",certain cancers.,,,detoxification processes.,T-cell development and some epithelial cells.,"Transcription factor with roles in epithelial differentiation.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, MGST3, GATA3, DSTN, SDC4",certain cancers.,,,actin depolymerization.,T-cell development and some epithelial cells.,"Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, MGST3, GATA3, DSTN, WFDC2",certain cancers.,,,actin depolymerization.,T-cell development and some epithelial cells.,"Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, MGST3, GATA3, SDC4, WFDC2",certain cancers.,,,detoxification processes.,T-cell development and some epithelial cells.,"Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, MGST3, LCN2, EHF, DSTN",certain cancers.,,,actin depolymerization.,,Transcription factor with roles in epithelial differentiation.
"IDH1, MGST3, LCN2, EHF, SDC4",certain cancers.,,,innate immunity and iron transport. Associated with inflammation and certain cancers.,,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, MGST3, LCN2, EHF, WFDC2",certain cancers.,,,innate immunity and iron transport. Associated with inflammation and certain cancers.,,"Transcription factor with roles in epithelial differentiation.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, MGST3, LCN2, DSTN, SDC4",certain cancers.,,,actin depolymerization.,,"Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, MGST3, LCN2, DSTN, WFDC2",certain cancers.,,,actin depolymerization.,,"Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, MGST3, LCN2, SDC4, WFDC2",certain cancers.,,,innate immunity and iron transport. Associated with inflammation and certain cancers.,,"Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, MGST3, EHF, DSTN, SDC4",certain cancers.,,,actin depolymerization.,,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, MGST3, EHF, DSTN, WFDC2",certain cancers.,,,actin depolymerization.,,"Transcription factor with roles in epithelial differentiation.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, MGST3, EHF, SDC4, WFDC2",certain cancers.,,,detoxification processes.,,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, MGST3, DSTN, SDC4, WFDC2",certain cancers.,,,actin depolymerization.,,"Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, GATA3, LCN2, EHF, DSTN",certain cancers.,,,actin depolymerization.,T-cell development and some epithelial cells.,Transcription factor with roles in epithelial differentiation.
"IDH1, GATA3, LCN2, EHF, SDC4",certain cancers.,,,innate immunity and iron transport. Associated with inflammation and certain cancers.,T-cell development and some epithelial cells.,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, GATA3, LCN2, EHF, WFDC2",certain cancers.,,,innate immunity and iron transport. Associated with inflammation and certain cancers.,T-cell development and some epithelial cells.,"Transcription factor with roles in epithelial differentiation.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, GATA3, LCN2, DSTN, SDC4",certain cancers.,,,actin depolymerization.,T-cell development and some epithelial cells.,"Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, GATA3, LCN2, DSTN, WFDC2",certain cancers.,,,actin depolymerization.,T-cell development and some epithelial cells.,"Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, GATA3, LCN2, SDC4, WFDC2",certain cancers.,,,innate immunity and iron transport. Associated with inflammation and certain cancers.,T-cell development and some epithelial cells.,"Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, GATA3, EHF, DSTN, SDC4",certain cancers.,,,actin depolymerization.,T-cell development and some epithelial cells.,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, GATA3, EHF, DSTN, WFDC2",certain cancers.,,,actin depolymerization.,T-cell development and some epithelial cells.,"Transcription factor with roles in epithelial differentiation.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, GATA3, EHF, SDC4, WFDC2",certain cancers.,,,,T-cell development and some epithelial cells.,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, GATA3, DSTN, SDC4, WFDC2",certain cancers.,,,actin depolymerization.,T-cell development and some epithelial cells.,"Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, LCN2, EHF, DSTN, SDC4",certain cancers.,,,actin depolymerization.,,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions."
"IDH1, LCN2, EHF, DSTN, WFDC2",certain cancers.,,,actin depolymerization.,,"Transcription factor with roles in epithelial differentiation.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, LCN2, EHF, SDC4, WFDC2",certain cancers.,,,innate immunity and iron transport. Associated with inflammation and certain cancers.,,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, LCN2, DSTN, SDC4, WFDC2",certain cancers.,,,actin depolymerization.,,"Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"IDH1, EHF, DSTN, SDC4, WFDC2",certain cancers.,,,actin depolymerization.,,"Transcription factor with roles in epithelial differentiation.; Syndecan-4, involved in cell-cell and cell-matrix interactions.; Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"PAM, ATP1B1, MGST3, GATA3, LCN2",,neuroendocrine system.,"the sodium-potassium pump, widespread expression.",innate immunity and iron transport. Associated with inflammation and certain cancers.,T-cell development and some epithelial cells.,
"PAM, ATP1B1, MGST3, GATA3, EHF",,neuroendocrine system.,"the sodium-potassium pump, widespread expression.",detoxification processes.,T-cell development and some epithelial cells.,Transcription factor with roles in epithelial differentiation.
"PAM, ATP1B1, MGST3, GATA3, DSTN",,neuroendocrine system.,"the sodium-potassium pump, widespread expression.",actin depolymerization.,T-cell development and some epithelial cells.,
"PAM, ATP1B1, MGST3, GATA3, SDC4",,neuroendocrine system.,"the sodium-potassium pump, widespread expression.",detoxification processes.,T-cell development and some epithelial cells.,"Syndecan-4, involved in cell-cell and cell-matrix interactions."
"PAM, ATP1B1, MGST3, GATA3, WFDC2",,neuroendocrine system.,"the sodium-potassium pump, widespread expression.",detoxification processes.,T-cell development and some epithelial cells.,"Protein with roles in immune defense. Known as HE4, sometimes used as a tumor marker."
"PAM, ATP1B1, MGST3, LCN2, EHF",,neuroendocrine system.,"the sodium-potassium pump, widespread expression.",innate immunity and iron transport. Associated with inflammation and certain cancers.,,Transcription factor with roles in epithelial differentiation.
"PAM, ATP1B1, MGST3, LCN2, DSTN",,neuroendocrine system.,"the sodium-potassium pump, widespread expression.",actin depolymerization.,,
